Code,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
pursan,0,0,0,24,81,0,48,0,0,0,49,0,0
baisan,0,0,0,0,0,0,0,0,0,0,0,0,0
litsti,0,0,0,0,0,0,0,0,0,0,0,0,0
leasan,0,20,0,0,0,0,0,0,0,0,0,0,0
whrsan,0,0,0,0,0,0,0,0,0,0,0,0,0
x00430,0,0,0,0,0,0,0,0,0,0,0,0,0
bubsan,0,0,0,0,0,0,0,0,0,0,0,0,0
x00431,0,0,0,0,0,0,0,0,0,0,0,0,0
pecsan,0,0,0,0,0,0,0,0,0,0,0,0,0
semsan,0,0,0,0,0,0,0,0,0,0,0,0,0
wessan,0,0,0,0,0,0,0,0,0,0,0,0,0
shbdow,0,1,0,0,0,0,0,0,0,0,0,0,0
lobdow,0,81,0,0,0,0,0,0,0,12,0,0,0
jacsni,0,0,0,0,0,0,0,0,0,0,0,0,0
amewoo,0,0,0,0,0,0,0,0,0,0,0,0,0
comsni,0,0,0,0,0,0,0,0,0,0,0,0,0
wilsni1,0,29,0,0,1,0,0,0,0,0,2,0,0
tersan,0,0,0,0,0,0,0,0,0,0,0,0,0
wilpha,0,0,0,0,0,0,0,0,0,0,0,0,0
renpha,0,0,0,0,0,0,0,0,0,0,0,0,0
redpha1,0,0,0,0,0,0,0,0,0,0,0,0,0
sposan,0,5,0,0,0,0,0,0,0,0,0,0,0
solsan,0,0,0,0,0,0,0,0,0,0,0,0,0
gyttat1,0,0,0,0,0,0,0,0,0,0,0,0,0
wantat1,0,0,0,0,0,0,0,0,0,0,0,0,0
spored,0,0,0,0,0,0,0,0,0,0,0,0,0
greyel,0,91,0,0,0,0,0,0,0,0,0,0,0
comgre,0,0,0,0,0,0,0,0,0,0,0,0,0
willet1,0,0,0,0,0,0,0,0,0,0,0,0,0
lesyel,0,0,0,0,0,0,1,0,0,0,0,0,0
marsan,0,0,0,0,0,0,0,0,0,0,0,0,0
woosan,0,0,0,0,0,0,0,0,0,0,0,0,0
comred1,0,0,0,0,0,0,0,0,0,0,0,0,0
gresku1,0,0,0,0,0,0,0,0,0,0,0,0,0
sopsku1,0,0,0,0,0,0,0,0,0,0,0,0,0
pomjae,0,0,0,0,0,0,0,0,0,0,0,0,0
parjae,0,0,0,0,0,0,0,0,0,0,0,0,0
lotjae,0,0,0,0,0,0,0,0,0,0,0,0,0
doveki,0,0,0,1,9,0,4,0,0,0,0,0,0
commur,0,1339,0,5,2,0,5,0,0,0,0,0,0
thbmur,0,0,0,1,4,0,4,0,0,0,0,0,0
razorb,0,0,0,18,8,0,7,0,0,0,0,0,0
blkgui,0,0,0,88,194,0,92,0,0,0,148,0,0
piggui,0,366,0,0,0,0,0,0,0,0,0,0,0
lobmur,0,0,0,0,0,0,0,0,0,0,0,0,0
marmur,0,465,0,0,0,0,0,0,0,0,0,0,0
kitmur,0,0,0,0,0,0,0,0,0,0,0,0,0
xanmur2,0,0,0,0,0,0,0,0,0,0,0,0,0
xanmur1,0,0,0,0,0,0,0,0,0,0,0,0,0
ancmur,0,672,0,0,0,0,0,0,0,0,0,0,0
casauk,0,0,0,0,0,0,0,0,0,0,0,0,0
parauk,0,0,0,0,0,0,0,0,0,0,0,0,0
creauk,0,0,0,0,0,0,0,0,0,0,0,0,0
rhiauk,0,130,0,0,0,0,0,0,0,0,0,0,0
atlpuf,0,0,0,0,4,0,2,0,0,0,0,0,0
horpuf,0,0,0,0,0,0,0,0,0,0,0,0,0
tufpuf,0,0,0,0,0,0,0,0,0,0,0,0,0
bklkit,0,0,0,8,9,0,23,0,5,0,0,0,0
relkit,0,0,0,0,0,0,0,0,0,0,0,0,0
ivogul,0,0,0,0,5,0,0,0,0,0,0,0,0
sabgul,0,0,0,0,0,0,0,0,0,0,0,0,0
bongul,0,29,0,1,0,0,84,0,336,0,0,0,0
bkhgul,0,0,0,0,15,0,37,0,0,0,0,0,0
litgul,0,0,0,0,0,0,1,0,1,0,0,0,0
rosgul,0,0,0,0,0,0,0,0,0,0,0,0,0
laugul,0,0,0,0,0,0,0,0,0,0,0,0,0
fragul,0,0,0,0,0,0,0,0,0,0,0,0,0
bktgul,0,0,0,0,0,0,0,0,0,0,0,0,0
heegul,0,0,0,0,0,0,0,0,0,0,0,0,0
mewgul,0,0,0,0,1,0,1,0,0,0,0,0,0
mewgul2,0,6403,0,0,0,0,0,0,0,0,0,0,0
ribgul,0,434,0,81,2,0,1046,0,10726,15,13,0,0
x00641,0,0,0,0,0,0,0,0,0,0,0,0,0
x00616,0,0,0,0,0,0,0,0,0,0,0,0,0
wesgul,0,16,0,0,0,0,0,0,0,0,0,0,0
calgul,0,192,0,0,0,0,0,0,0,0,0,0,0
hergul,0,743,0,2560,2005,0,7370,0,15848,72,1097,0,0
x00797,0,0,0,0,0,0,0,0,0,0,0,0,0
yelgul1,0,0,0,0,0,0,0,0,0,0,0,0,0
y00478,0,2297,0,192,1487,0,1075,0,92,41,942,0,0
lbbgul,0,0,0,1,3,0,22,0,23,0,2,0,0
x00057,0,0,0,0,1,0,0,0,0,0,0,0,0
slbgul,0,0,0,0,0,0,0,0,0,0,0,0,0
glwgul,0,13096,0,0,0,0,0,0,0,0,0,0,0
x00051,0,1776,0,0,0,0,0,0,0,0,0,0,0
x00050,0,77,0,0,0,0,0,0,0,0,0,0,0
x00436,0,0,0,0,0,0,0,0,0,0,0,0,0
glagul,0,1,0,3,129,0,14,0,91,1,155,0,0
nelgul,0,0,0,0,0,0,1,0,0,0,0,0,0
x00048,0,0,0,0,0,0,0,0,0,0,0,0,0
gbbgul,0,0,0,325,437,0,1628,0,441,8,1724,0,0
x00047,0,0,0,0,1,0,0,0,1,0,0,0,0
x00632,0,0,0,0,0,0,0,0,0,0,0,0,0
kelgul,0,0,0,0,0,0,0,0,0,0,0,0,0
sooter1,0,0,0,0,0,0,0,0,0,0,0,0,0
briter1,0,0,0,0,0,0,0,0,0,0,0,0,0
leater1,0,0,0,0,0,0,0,0,0,0,0,0,0
gubter1,0,0,0,0,0,0,0,0,0,0,0,0,0
caster1,0,0,0,0,0,0,0,0,0,0,0,0,0
blkter,0,0,0,0,0,0,0,0,0,0,0,0,0
whwter,0,0,0,0,0,0,0,0,0,0,0,0,0
roster,0,0,0,0,0,0,0,0,0,0,0,0,0
comter,0,0,0,0,0,0,0,0,0,0,0,0,0
x00735,0,0,0,0,0,0,0,0,0,0,0,0,0
arcter,0,0,0,0,0,0,0,0,0,0,0,0,0
forter,0,0,0,0,0,0,0,0,0,0,0,0,0
royter1,0,0,0,0,0,0,0,0,0,0,0,0,0
santer1,0,0,0,0,0,0,0,0,0,0,0,0,0
eleter1,0,0,0,0,0,0,0,0,0,0,0,0,0
blkski,0,0,0,0,0,0,0,0,0,0,0,0,0
whttro,0,0,0,0,0,0,0,0,0,0,0,0,0
rebtro,0,0,0,0,0,0,0,0,0,0,0,0,0
retloo,0,171,0,2,2,0,28,0,3,0,0,0,0
arcloo,0,0,0,0,0,0,0,0,0,0,0,0,0
pacloo,0,1569,0,0,0,0,0,0,0,0,0,0,0
comloo,0,417,0,150,67,0,212,0,21,0,3,0,0
yebloo,0,1,0,0,0,0,0,0,0,0,0,0,0
yenalb,0,0,0,0,0,0,0,0,0,0,0,0,0
bkbalb,0,0,0,0,0,0,0,0,0,0,0,0,0
layalb,0,0,0,0,0,0,0,0,0,0,0,0,0
bkfalb,0,0,0,0,0,0,0,0,0,0,0,0,0
shtalb,0,0,0,0,0,0,0,0,0,0,0,0,0
wispet,0,0,0,0,0,0,0,0,0,0,0,0,0
wfspet,0,0,0,0,0,0,0,0,0,0,0,0,0
ftspet,0,0,0,0,0,0,0,0,0,0,0,0,0
lcspet,0,0,0,0,0,0,0,0,0,0,0,0,0
barpet,0,0,0,0,0,0,0,0,0,0,0,0,0
norful,0,0,0,0,113,0,0,0,0,0,0,0,0
tripet1,0,0,0,0,0,0,0,0,0,0,0,0,0
murpet,0,0,0,0,0,0,0,0,0,0,0,0,0
feapet1,0,0,0,0,0,0,0,0,0,0,0,0,0
motpet,0,0,0,0,0,0,0,0,0,0,0,0,0
berpet,0,0,0,0,0,0,0,0,0,0,0,0,0
bkcpet,0,0,0,0,0,0,0,0,0,0,0,0,0
hawpet1,0,0,0,0,0,0,0,0,0,0,0,0,0
coopet,0,0,0,0,0,0,0,0,0,0,0,0,0
corshe,0,0,0,0,0,0,0,0,0,0,0,0,0
pifshe,0,0,0,0,0,0,0,0,0,0,0,0,0
flfshe,0,0,0,0,0,0,0,0,0,0,0,0,0
greshe,0,0,0,0,0,0,0,0,0,0,0,0,0
bulshe,0,0,0,0,0,0,0,0,0,0,0,0,0
sooshe,0,0,0,0,0,0,0,0,0,0,0,0,0
shtshe,0,0,0,0,0,0,0,0,0,0,0,0,0
manshe,0,0,0,0,0,0,0,0,0,0,0,0,0
litshe1,0,0,0,0,0,0,0,0,0,0,0,0,0
audshe,0,0,0,0,0,0,0,0,0,0,0,0,0
woosto,0,0,0,0,0,0,0,0,0,0,0,0,0
